"","ruta","archivo","qterm_pos","vterm_pos","qterm_neg","vterm_neg","tasaPosNot","tasaNegNot","vPolNot","anio","mes","dia","medio"
"59","./ieeelatam/data/marzo/semana3/","20200321_LA_Queja de una pampeana se repite en todo Madrid.txt",48,20.6077,9,2.96666666666667,0.429327083333333,0.32962962962963,6.94641573033708,"2020","03","21","LA"
"60","./ieeelatam/data/marzo/semana3/","20200321_LA_Restricciones en el servicio de colectivos en Santa Rosa.txt",12,5.4667,4,1,0.455558333333333,0.25,5.4667,"2020","03","21","LA"
"61","./ieeelatam/data/marzo/semana3/","20200321_RF_Denunciaron a quien viralizó un mensaje sobre un falso caso de Coronavirus en La Pampa.txt",57,25.0831,10,5.6,0.440054385964912,0.56,4.479125,"2020","03","21","RF"
"62","./ieeelatam/data/marzo/semana3/","20200321_RF_El panorama acá es alarmante.txt",92,46.09535,15,7.76666666666667,0.501036413043478,0.517777777777778,5.93502360515021,"2020","03","21","RF"
"63","./ieeelatam/data/marzo/semana3/","20200321_RF_La Pampa se mantiene sin casos confirmados o sospechosos del Covid-19.txt",41,16.63355,10,4.2,0.405696341463415,0.42,3.96036904761905,"2020","03","21","RF"
"64","./ieeelatam/data/marzo/semana3/","20200321_RF_Mas de 150 metros de cola para ingresar a supermercados.txt",12,5.675,2,0.4,0.472916666666667,0.2,14.1875,"2020","03","21","RF"
"65","./ieeelatam/data/marzo/semana3/","20200321_RF_Paulo Dybala y Oriana Sabatini confirmaron que dieron positivo de coronavirus.txt",30,17.3,2,1.8,0.576666666666667,0.9,9.61111111111111,"2020","03","21","RF"
"66","./ieeelatam/data/marzo/semana3/","20200321_RF_Ya no solo afecta a adultos mayores.txt",41,20.1082,5,2.2,0.490443902439024,0.44,9.14009090909091,"2020","03","21","RF"
"67","./ieeelatam/data/marzo/semana4/","20200322_DT_Este domingo tampoco hay casos de coronavirus en La Pampa.txt",28,13.4333,12,4.33333333333333,0.479760714285714,0.361111111111111,3.09999230769231,"2020","03","22","DT"
"68","./ieeelatam/data/marzo/semana4/","20200322_IP_Coronavirus. en General Pico no hay casos confirmados y se mantiene el número de 100 personas en cuarentena.txt",12,2.9334,1,0.8,0.24445,0.8,3.66675,"2020","03","22","IP"
"69","./ieeelatam/data/marzo/semana4/","20200322_IP_Covid-19. La Pampa no registra casos confirmados y amplió el rango para interpretar los “sospechosos”.txt",20,7.91675,2,0.4,0.3958375,0.2,19.791875,"2020","03","22","IP"
"70","./ieeelatam/data/marzo/semana4/","20200322_IP_Covid-19. La Pampa no registra casos confirmados y amplió el rango para interpretar los sospechosos.txt",20,7.91675,2,0.4,0.3958375,0.2,19.791875,"2020","03","22","IP"
"71","./ieeelatam/data/marzo/semana4/","20200322_LA_Ayer se confirmaron 67 nuevos casos de COVID-19.txt",61,29.6953,27,8.4,0.486808196721312,0.311111111111111,3.53515476190476,"2020","03","22","LA"
"72","./ieeelatam/data/marzo/semana4/","20200322_LA_Medidas para prevenir el Covid-19.txt",1,0.4,1,0.2,0.4,0.2,2,"2020","03","22","LA"
"73","./ieeelatam/data/marzo/semana4/","20200322_RF_Aislaron a la comunidad menonita y a Nueva Galia.txt",11,5.08575,3,0.9,0.462340909090909,0.3,5.65083333333334,"2020","03","22","RF"
"74","./ieeelatam/data/marzo/semana4/","20200322_RF_Aislaron a tres familiares de Dybala y denunciaron que el hermano rompió la cuarentena.txt",36,18.9,1,0.2,0.525,0.2,94.5,"2020","03","22","RF"
"75","./ieeelatam/data/marzo/semana4/","20200322_RF_El Senador Marino anunció que donará su sueldo a los hospitales Centeno y Molas.txt",12,5.9666,3,0.7,0.497216666666667,0.233333333333333,8.52371428571429,"2020","03","22","RF"
"76","./ieeelatam/data/marzo/semana4/","20200323_DT_Cuarentena. un micro con 30 argentinos repatriados no pudo pasar por La Pampa.txt",25,10.04285,6,1.13333333333333,0.401714,0.188888888888889,8.86133823529412,"2020","03","23","DT"
"77","./ieeelatam/data/marzo/semana4/","20200323_DT_El domingo detuvieron a 419 pampeanos por no respetar la cuarentena por el coronavirus.txt",48,22.0334,16,7.95,0.459029166666667,0.496875,2.77149685534591,"2020","03","23","DT"
"78","./ieeelatam/data/marzo/semana4/","20200323_DT_En diez días empezarían a hacer análisis de coronavirus en La Pampa.txt",62,32.26385,9,3,0.520384677419355,0.333333333333333,10.7546166666667,"2020","03","23","DT"
"79","./ieeelatam/data/marzo/semana4/","20200323_DT_Ziliotto.«La pandemia, tarde o temprano, llegará a La Pampa».txt",57,30.47215,9,3,0.534599122807017,0.333333333333333,10.1573833333333,"2020","03","23","DT"
