"","palabra","freq","magrado","mactivacion","mimag"
"2969","entendemos",1,NA,NA,NA
"2970","entendíamos",1,NA,NA,NA
"2971","entendió",1,NA,NA,NA
"2972","entero",1,2.2,1.8,2.2
"2973","entienden",1,NA,NA,NA
"2974","entrada",1,2.4,2.2,2.8
"2975","entraría",1,NA,NA,NA
"2976","entregando",1,NA,NA,NA
"2977","entregar",1,2.4,2.8,2.8
"2978","entregas",1,NA,NA,NA
"2979","entreyde",1,NA,NA,NA
"2980","entreyhoras",1,NA,NA,NA
"2981","entreymil",1,NA,NA,NA
"2982","entreypersonas",1,NA,NA,NA
"2983","entubar",1,NA,NA,NA
"2984","enviado",1,NA,NA,NA
"2985","enviados",1,NA,NA,NA
"2986","enviará",1,NA,NA,NA
"2987","enviaremos",1,NA,NA,NA
"2988","enviarla",1,NA,NA,NA
"2989","enviaron",1,NA,NA,NA
"2990","envíen",1,NA,NA,NA
"2991","envió",1,NA,NA,NA
"2992","epetquienes",1,NA,NA,NA
"2993","epidemiológicas",1,NA,NA,NA
"2994","epidemiológicos",1,NA,NA,NA
"2995","epígrafe",1,NA,NA,NA
"2996","episodio",1,2.2,2,2.4
"2997","equilibrio",1,2.6,2.6,3
"2998","erradicación",1,NA,NA,NA
"2999","errónea",1,NA,NA,NA
"3000","escalas",1,NA,NA,NA
"3001","escenario",1,2.4,2,2.6
"3002","escenarios",1,NA,NA,NA
"3003","escenas",1,NA,NA,NA
"3004","escolar",1,NA,NA,NA
"3005","escritorios",1,NA,NA,NA
"3006","esel",1,NA,NA,NA
"3007","espalda",1,2.2,1.6,2.8
"3008","especialista",1,NA,NA,NA
"3009","especie",1,2.2,1.8,2.6
"3010","específica",1,NA,NA,NA
"3011","específicas",1,NA,NA,NA
"3012","espectáculos",1,NA,NA,NA
"3013","especula",1,NA,NA,NA
"3014","esperanza",1,2.8,1.8,2.6
"3015","esperar",1,1.2,1,2.8
"3016","esperarían",1,NA,NA,NA
"3017","espontánea",1,NA,NA,NA
"3018","espontáneas",1,NA,NA,NA
"3019","esposo",1,1.8,2.4,2.8
"3020","establecida",1,NA,NA,NA
"3021","establecimiento",1,2,1.6,3
"3022","establecimientos",1,NA,NA,NA
"3023","estableció",1,NA,NA,NA
"3024","estadísticas",1,NA,NA,NA
"3025","estadístico",1,NA,NA,NA
"3026","estadounidenses",1,NA,NA,NA
"3027","estatal",1,1.8,1.8,1.6
"3028","éste",1,NA,NA,NA
"3029","esterotierra",1,NA,NA,NA
"3030","estima",1,NA,NA,NA
"3031","estimular",1,NA,NA,NA
"3032","estratégicamente",1,NA,NA,NA
"3033","estrechospersonas",1,NA,NA,NA
"3034","estricta",1,NA,NA,NA
"3035","estudiando",1,NA,NA,NA
"3036","estudiopersonas",1,NA,NA,NA
"3037","estupefacientes",1,NA,NA,NA
"3038","etapa",1,2.2,2.4,2.6
"3039","europeos",1,NA,NA,NA
"3040","euros",1,NA,NA,NA
"3041","evacuados",1,NA,NA,NA
"3042","evalúa",1,NA,NA,NA
"3043","evaluaciones",1,NA,NA,NA
"3044","evaluar",1,NA,NA,NA
"3045","evaluó",1,NA,NA,NA
"3046","eventuales",1,NA,NA,NA
"3047","eventualidad",1,NA,NA,NA
"3048","evidenciaba",1,NA,NA,NA
"3049","evitando",1,NA,NA,NA
"3050","evolucionaron",1,NA,NA,NA
"3051","evolucionó",1,NA,NA,NA
"3052","exactamente",1,2.4,2.2,1.6
"3053","examen",1,1.6,2,3
"3054","examinadoras",1,NA,NA,NA
"3055","excelente",1,3,2,2.2
"3056","excepción",1,2.2,2.6,1.6
"3057","excepciones",1,NA,NA,NA
"3058","exceptuadas",1,NA,NA,NA
"3059","excluidos",1,NA,NA,NA
"3060","exclusivamente",1,2.2,2,1.4
"3061","exclusivo",1,NA,NA,NA
"3062","excluyente",1,NA,NA,NA
"3063","exhibe",1,NA,NA,NA
"3064","exigen",1,NA,NA,NA
"3065","exigencia",1,NA,NA,NA
"3066","exigencias",1,NA,NA,NA
