"","palabra","freq","magrado","mactivacion","mimag"
"1192","organismo",1,2,2.6,2
"1193","organismos",1,NA,NA,NA
"1194","organización",1,2,2.4,2.6
"1195","organizadora",1,NA,NA,NA
"1196","origen",1,2.2,1.8,1.8
"1197","originó",1,NA,NA,NA
"1198","oscaralpa",1,NA,NA,NA
"1199","otorga",1,NA,NA,NA
"1200","otorgar",1,2.6,3,2.2
"1201","otorgarles",1,NA,NA,NA
"1202","otrosson",1,NA,NA,NA
"1203","padece",1,NA,NA,NA
"1204","padecer",1,NA,NA,NA
"1205","padecía",1,NA,NA,NA
"1206","página",1,2.2,2.4,3
"1207","paginacom",1,NA,NA,NA
"1208","pampeana",1,NA,NA,NA
"1209","pampeanas",1,NA,NA,NA
"1210","pánico",1,NA,NA,NA
"1211","panorama",1,NA,NA,NA
"1212","paralelamente",1,NA,NA,NA
"1213","parecen",1,NA,NA,NA
"1214","parque",1,2.8,2.2,3
"1215","párrafo",1,NA,NA,NA
"1216","parrillas",1,NA,NA,NA
"1217","partes",1,NA,NA,NA
"1218","participación",1,2.6667,3,2.5
"1219","participan",1,NA,NA,NA
"1220","paseo",1,3,2.6,3
"1221","patologías",1,NA,NA,NA
"1222","pedidos",1,NA,NA,NA
"1223","peleándola",1,NA,NA,NA
"1224","peñas",1,NA,NA,NA
"1225","permanecerá",1,NA,NA,NA
"1226","permanente",1,2,2.6,1.8
"1227","permanentes",1,NA,NA,NA
"1228","permita",1,NA,NA,NA
"1229","perotti",1,NA,NA,NA
"1230","pico",1,2.4,2.6,2.8
"1231","pide",1,NA,NA,NA
"1232","podemos",1,NA,NA,NA
"1233","podrá",1,NA,NA,NA
"1234","pondrán",1,NA,NA,NA
"1235","poniendo",1,NA,NA,NA
"1236","poniéndose",1,NA,NA,NA
"1237","poraa",1,NA,NA,NA
"1238","pordías",1,NA,NA,NA
"1239","porteño",1,NA,NA,NA
"1240","pos",1,NA,NA,NA
"1241","positiva",1,NA,NA,NA
"1242","positivas",1,NA,NA,NA
"1243","positivos",1,NA,NA,NA
"1244","pospusiera",1,NA,NA,NA
"1245","precisamente",1,2.2,2,2
"1246","precisó",1,NA,NA,NA
"1247","preexistentes",1,NA,NA,NA
"1248","preocupaciones",1,NA,NA,NA
"1249","preparada",1,NA,NA,NA
"1250","prepararse",1,NA,NA,NA
"1251","presenta",1,NA,NA,NA
"1252","presentada",1,NA,NA,NA
"1253","presentes",1,NA,NA,NA
